action,budget,seed_count,attempted,successful,failed,fully_applied,flips,attack_eligible,attack_successes,attack_success_rate,mean_delta_probability,mean_absolute_delta_probability,max_absolute_delta_probability,mean_applied_count,mean_runtime_ms
node_add,1,10,580,580,0,580,0,300,0,0.0,-0.0017473554873495205,0.005168303140375418,0.3833557814359665,1.0,47.428923906885096
node_add,3,10,580,580,0,580,2,300,2,0.006666666666666667,0.0060201964614073735,0.027928959444480508,0.7589388564229012,3.0,49.52211078103095
node_add,5,10,580,580,0,580,4,300,4,0.013333333333333334,-0.00388445731779142,0.053115998067722686,0.8481655195355415,5.0,48.58566897931127
node_delete,1,10,580,580,0,580,11,300,4,0.013333333333333334,-0.011514900508731841,0.048236667372055064,0.9273536251857877,1.0,48.3328588689707
node_delete,3,10,580,442,138,432,29,236,8,0.03389830508474576,0.008047983470047619,0.06683972780793539,0.9529990600422025,2.97737556561086,55.24080211763676
node_delete,5,10,580,431,149,391,36,232,15,0.06465517241379311,0.015275794879128078,0.08654536115395706,0.925355553627002,4.837587006960557,55.930948700684944
node_attribute_modify,1,10,580,580,0,580,10,300,4,0.013333333333333334,-0.00866728855788433,0.03802876900897437,0.9253554540174349,1.0,48.85325213449035
node_attribute_modify,3,10,580,580,0,580,38,300,10,0.03333333333333333,-0.018815199657750296,0.09118450452583148,0.9985933568095788,3.0,48.49677146034404
node_attribute_modify,5,10,580,580,0,580,38,300,16,0.05333333333333334,-0.03707194778268539,0.10910929444601167,0.9985933568095788,5.0,48.953224743099625
edge_add,1,10,580,580,0,580,17,300,6,0.02,-0.013966141020776052,0.04006291766147119,0.9253554540174349,1.0,48.388984262060696
edge_add,3,10,580,580,0,580,33,300,12,0.04,-0.018052864186094135,0.0699541162439272,0.9932221374474466,3.0,49.82008102759147
edge_add,5,10,580,580,0,580,33,300,9,0.03,-0.04020821451086813,0.07985052087592047,0.9993421826511621,5.0,51.00122640001481
edge_delete,1,10,580,580,0,580,2,300,2,0.006666666666666667,0.012094579915736004,0.025847096534691933,0.6745801477736677,1.0,47.36081561206784
edge_delete,3,10,580,540,40,540,12,277,8,0.02888086642599278,-0.021219995307278913,0.07070198568087037,0.9529990600422025,3.0,50.564789809259814
edge_delete,5,10,580,444,136,444,24,237,13,0.05485232067510549,-0.008374901840487043,0.06566166517199577,0.9755573067814112,5.0,56.38060152703398
edge_reconnect,1,10,580,580,0,580,11,300,4,0.013333333333333334,-0.017798968937494993,0.05888335024529891,0.9713499527424574,1.0,48.411147272398416
edge_reconnect,3,10,580,578,2,578,21,299,7,0.023411371237458192,-0.037421463228394555,0.06941268175661246,0.9688381217420101,3.0,49.8655837283734
edge_reconnect,5,10,580,578,2,578,25,299,7,0.023411371237458192,-0.05884010686074489,0.08190884051111047,0.9639779105782509,5.0,50.96161208649245
